"","common_name1","id","nutrient","food_desc","food_group","notes","ph_ranking","trace","units","value","genus","common_name2","scientific_name1","scientific_name2","family","order","class","phylum","kingdom","algae_type","raw","dried"
"13","arame","09006","Vitamin K","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"µg",260,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"14","arame","09006","Vitamin K","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"µg",260,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"15","arame","09006","Copper","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"mg",0.17,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"16","arame","09006","Copper","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"mg",0.17,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"17","arame","09006","Iron","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"mg",3.5,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"18","arame","09006","Iron","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"mg",3.5,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"19","arame","09006","Threonine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",530,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"20","arame","09006","Threonine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",530,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"21","arame","09006","Zinc","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"mg",1.1,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"22","arame","09006","Zinc","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"mg",1.1,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"23","arame","09006","Energy","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"kcal",140,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"24","arame","09006","Energy","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"kcal",140,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"25","arame","09006","Vitamin E (α)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.6,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"26","arame","09006","Vitamin E (α)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.6,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"27","arame","09006","PUFAs","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"g",0.26,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"28","arame","09006","PUFAs","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"g",0.26,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"29","arame","09006","Tryptophan","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",140,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"30","arame","09006","Tryptophan","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",140,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"31","arame","09006","Linoleic acid","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",7,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"32","arame","09006","Linoleic acid","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",7,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"33","arame","09006","Lysine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",550,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"34","arame","09006","Lysine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",550,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"35","arame","09006","Magnesium","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",530,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"36","arame","09006","Magnesium","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",530,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"37","arame","09006","Histidine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",210,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"38","arame","09006","Histidine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",210,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"39","arame","09006","α -Linolenic acid","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"mg",1,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"40","arame","09006","α -Linolenic acid","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"mg",1,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"41","arame","09006","Phosphorus","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"mg",250,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"42","arame","09006","Phosphorus","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"mg",250,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"43","arame","09006","Vitamin B5 (pantothenic acid)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.28,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"44","arame","09006","Vitamin B5 (pantothenic acid)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.28,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"45","arame","09006","Folate (vitamin B9)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"µg",110,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"46","arame","09006","Folate (vitamin B9)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"µg",110,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"47","arame","09006","Leucine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",780,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"48","arame","09006","Leucine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",780,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"49","arame","09006","Dietary fiber (total)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"g",48,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"50","arame","09006","Dietary fiber (total)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"g",48,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"51","arame","09006","Vitamin E (γ)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"52","arame","09006","Vitamin E (γ)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"53","arame","09006","Vitamin B12 (cobalamine)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"µg",0.1,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"54","arame","09006","Vitamin B12 (cobalamine)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"µg",0.1,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"55","arame","09006","Sodium","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"mg",2300,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"56","arame","09006","Sodium","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"mg",2300,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"57","arame","09006","Potassium","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",3200,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"58","arame","09006","Potassium","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",3200,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"59","arame","09006","Vitamin B6 (pyridoxine)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.02,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"60","arame","09006","Vitamin B6 (pyridoxine)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.02,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"61","arame","09006","Vitamin D","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"µg",0,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"62","arame","09006","Vitamin D","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"µg",0,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"63","arame","09006","Water","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"g",16.7,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"64","arame","09006","Water","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"g",16.7,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"65","arame","09006","Vitamin E (β)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"66","arame","09006","Vitamin E (β)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"67","arame","09006","MUFAs","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"g",0.04,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"68","arame","09006","MUFAs","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"g",0.04,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"69","arame","09006","SFAs","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"g",0.1,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"70","arame","09006","SFAs","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Low",FALSE,"g",0.1,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"71","arame","09006","Thiamine (Vitamin B1)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.1,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"72","arame","09006","Thiamine (Vitamin B1)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.1,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"73","arame","09006","Riboflavin (Vitamin B2)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.26,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"74","arame","09006","Riboflavin (Vitamin B2)","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"mg",0.26,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"75","green caviar","09012","Vitamin B5 (pantothenic acid)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"76","green caviar","09012","Vitamin B5 (pantothenic acid)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"77","green caviar","09012","Vitamin E (β)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"78","green caviar","09012","Vitamin E (β)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"79","green caviar","09012","α -Linolenic acid","Algae, Green caviar, raw","Algae",NA,"High",FALSE,"mg",7,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"80","green caviar","09012","α -Linolenic acid","Algae, Green caviar, raw","Algae",NA,"High",FALSE,"mg",7,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"81","green caviar","09012","Iron","Algae, Green caviar, raw","Algae",NA,"High",FALSE,"mg",0.8,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"82","green caviar","09012","Iron","Algae, Green caviar, raw","Algae",NA,"High",FALSE,"mg",0.8,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"83","green caviar","09012","Magnesium","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",51,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"84","green caviar","09012","Magnesium","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",51,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"85","green caviar","09012","Thiamine (Vitamin B1)","Algae, Green caviar, raw","Algae",NA,"Medium",TRUE,"mg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"86","green caviar","09012","Thiamine (Vitamin B1)","Algae, Green caviar, raw","Algae",NA,"Medium",TRUE,"mg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"87","green caviar","09012","Vitamin B6 (pyridoxine)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"88","green caviar","09012","Vitamin B6 (pyridoxine)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"89","green caviar","09012","Vitamin B7 (biotin)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"µg",0.1,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"90","green caviar","09012","Vitamin B7 (biotin)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"µg",0.1,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"91","green caviar","09012","Riboflavin (Vitamin B2)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",0.01,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"92","green caviar","09012","Riboflavin (Vitamin B2)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",0.01,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"93","green caviar","09012","Sodium","Algae, Green caviar, raw","Algae",NA,"Low",FALSE,"mg",330,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"94","green caviar","09012","Sodium","Algae, Green caviar, raw","Algae",NA,"Low",FALSE,"mg",330,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"95","green caviar","09012","Calcium","Algae, Green caviar, raw","Algae",NA,"High",FALSE,"mg",34,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"96","green caviar","09012","Calcium","Algae, Green caviar, raw","Algae",NA,"High",FALSE,"mg",34,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"97","green caviar","09012","Vitamin B12 (cobalamine)","Algae, Green caviar, raw","Algae",NA,"High",FALSE,"µg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"98","green caviar","09012","Vitamin B12 (cobalamine)","Algae, Green caviar, raw","Algae",NA,"High",FALSE,"µg",0,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"99","green caviar","09012","Dietary fiber (total)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"g",0.8,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"100","green caviar","09012","Dietary fiber (total)","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"g",0.8,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"101","green caviar","09012","SFAs","Algae, Green caviar, raw","Algae",NA,"Low",FALSE,"g",0.02,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"102","green caviar","09012","SFAs","Algae, Green caviar, raw","Algae",NA,"Low",FALSE,"g",0.02,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"103","green caviar","09012","Linoleic acid","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",4,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
"104","green caviar","09012","Linoleic acid","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",4,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA,TRUE,NA
"105","green caviar","09012","Potassium","Algae, Green caviar, raw","Algae",NA,"Medium",FALSE,"mg",39,"caulerpa",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA,TRUE,NA
